tvg_id,epg_id_matched,source,duplicate_sources
ComedyCentralPlutoTV.us@US,ComedyCentralPlutoTV.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ComedyDynamics.us@SD,ComedyDynamics.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ComedyTV.us@SD,ComedyTV.us,epg-xdbezrvvbu.xml.gz,
Comet.us@SD,Comet.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
ConcertChannel.us@SD,ConcertChannel.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CookingPanda.us@SD,CookingPanda.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
Cops.us@SD,Cops.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CornerstoneTV.us@SD,CornerstoneTV.us,epg-xdbezrvvbu.xml.gz,
CourtTV.us@SD,CourtTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CoziTV.us@SD,CoziTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Crime360.us@SD,Crime360.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CrimenesImperfectos.us@SD,CrimenesImperfectos.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CrimePlusInvestigation.us@SD,CrimePlusInvestigation.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Crunchyroll.us@SD,Crunchyroll.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CSI.us@SD,CSI.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CSIenespanol.us@SD,CSIenespanol.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
CSPAN.us@SD,CSPAN.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
CSPAN2.us@SD,CSPAN2.us,epg-xdbezrvvbu.xml.gz,
CTN.us@SD,CTN.us,epg-xdbezrvvbu.xml.gz,
CuriosityNOW.de@EN,CuriosityNOW.de@EN,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Dabl.us@SD,Dabl.us,epg-xdbezrvvbu.xml.gz,
DangerTV.us@SD,DangerTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
DarkMatterTV.us@SD,DarkMatterTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
Dateline247.us@SD,Dateline247.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
DatingDisasters.us@SD,DatingDisasters.pluto,epg-xdbezrvvbu.xml.gz,
DaystarTV.us@SD,DaystarTV.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
DaystarTVEspanol.us@SD,DaystarTVEspanol.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
DealorNoDeal.us@SD,DealorNoDeal.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
Degrassi.us@US,Degrassi.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
DesignatedSurvivor.us@SD,DesignatedSurvivor.us@SD,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
DiscoveryTurbo.us@SD,DiscoveryTurbo.au,epg-xdbezrvvbu.xml.gz,
DisneyChannel.us@East,DisneyChannel.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
DisneyChannel.us@West,DisneyChannel.us@West,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
DisneyJunior.us@East,DisneyJunior.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
DisneyJunior.us@West,DisneyJunior.us@West,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
DisneyXD.us@East,DisneyXD.us@East,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
DisneyXD.us@West,DisneyXD.us@West,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz
DoctorWhoClassic.us@US,DoctorWhoClassic.us@US,iptvorg-guide.xml.gz,us-iptvorg-guide.xml.gz;epg-xdbezrvvbu.xml.gz
